trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
11,tønde_compressed.wav,neutral,tønde,tumor,babble_69.wav,koldbrand_reversed.wav,illoyal_reversed.wav,,,,,0,76,76,76,left,1.052595853805542,left,1,tønde,tumor,50701,1,2025-11-28_11-41-58
90,hage_compressed.wav,neutral,hage,pjece,babble_75.wav,redskab_reversed.wav,dæmpet_reversed.wav,,,,,0,77,77,77,right,1.7508978843688965,right,1,pjece,hage,50701,1,2025-11-28_11-41-58
41,grimme_compressed.wav,negative,grimme,voldsom,babble_6.wav,vandfald_reversed.wav,regnbue_reversed.wav,,,,,0,78,78,78,left,0.6908729076385498,left,1,grimme,voldsom,50701,1,2025-11-28_11-41-58
73,bombe_compressed.wav,negative,bombe,venlig,babble_14.wav,kugle_reversed.wav,talent_reversed.wav,,,,,0,79,79,79,left,0.7878670692443848,left,1,bombe,venlig,50701,1,2025-11-28_11-41-58
2,forfald_compressed.wav,negative,forfald,dæmon,babble_53.wav,ensom_reversed.wav,fængsel_reversed.wav,,,,,0,80,80,80,left,1.2085139751434326,left,1,forfald,dæmon,50701,1,2025-11-28_11-41-58
3,glæde_compressed.wav,positive,glæde,humor,babble_20.wav,nedbrud_reversed.wav,væmmes_reversed.wav,,,,,0,81,81,81,right,0.9975600242614746,right,1,humor,glæde,50701,1,2025-11-28_11-41-58
5,nøgle_compressed.wav,neutral,nøgle,røver,babble_70.wav,ketchup_reversed.wav,smerte_reversed.wav,,,,,0,82,82,82,right,0.9137639999389648,right,1,røver,nøgle,50701,1,2025-11-28_11-41-58
70,heldig_compressed.wav,positive,heldig,voldsom,babble_41.wav,ugle_reversed.wav,nonsens_reversed.wav,,,,,0,83,83,83,left,0.9242258071899414,left,1,heldig,voldsom,50701,1,2025-11-28_11-41-58
8,brænde_compressed.wav,negative,brænde,affald,babble_49.wav,bygning_reversed.wav,respekt_reversed.wav,,,,,0,84,84,84,left,0.9978630542755128,left,1,brænde,affald,50701,1,2025-11-28_11-41-58
78,stjerne_compressed.wav,positive,stjerne,mester,babble_71.wav,putte_reversed.wav,vinde_reversed.wav,0.0,0.0,0.0,0.0,0,-1,-1,0,right,0.7285499572753906,right,1,mester,stjerne,6702,1,2025-11-24_10-57-48
75,nøgle_compressed.wav,neutral,nøgle,voldtægt,babble_25.wav,marked_reversed.wav,spise_reversed.wav,0.0,1.0,1.0,1.0,0,-1,-1,0,left,1.1913678646087646,left,1,nøgle,voldtægt,6702,1,2025-11-24_10-57-48
40,vandfald_compressed.wav,positive,vandfald,selvmord,babble_66.wav,gratis_reversed.wav,sikker_reversed.wav,0.0,2.0,2.0,2.0,0,-1,-1,0,left,2.615118980407715,right,0,selvmord,vandfald,6702,1,2025-11-24_10-57-48
69,borddug_compressed.wav,neutral,borddug,himlen,babble_46.wav,feber_reversed.wav,avis_reversed.wav,0.0,3.0,3.0,3.0,0,-1,-1,0,right,1.8767788410186768,right,1,himlen,borddug,6702,1,2025-11-24_10-57-48
26,taxa_compressed.wav,neutral,taxa,nedbrud,babble_24.wav,baby_reversed.wav,sindssyg_reversed.wav,0.0,4.0,4.0,4.0,0,-1,-1,0,left,1.061823844909668,left,1,taxa,nedbrud,6702,1,2025-11-24_10-57-48
8,accept_compressed.wav,positive,accept,baby,babble_21.wav,pude_reversed.wav,utro_reversed.wav,,,,,0,0,0,0,right,0.7404501438140869,right,1,baby,accept,6702,1,2025-11-24_10-57-48
10,illoyal_compressed.wav,negative,illoyal,syndig,babble_46.wav,succes_reversed.wav,glæde_reversed.wav,,,,,0,1,1,1,left,2.148344039916992,right,0,syndig,illoyal,6702,1,2025-11-24_10-57-48
77,redskab_compressed.wav,neutral,redskab,sandhed,babble_7.wav,trussel_reversed.wav,baby_reversed.wav,,,,,0,2,2,2,left,1.6037909984588623,left,1,redskab,sandhed,6702,1,2025-11-24_10-57-48
46,ære_compressed.wav,positive,ære,vinde,babble_36.wav,koldbrand_reversed.wav,opstemt_reversed.wav,,,,,0,3,3,3,left,1.6899960041046145,left,1,ære,vinde,6702,1,2025-11-24_10-57-48
32,marked_compressed.wav,neutral,marked,motor,babble_70.wav,trofæ_reversed.wav,misbrug_reversed.wav,,,,,0,4,4,4,right,0.8020949363708496,right,1,motor,marked,6702,1,2025-11-24_10-57-48
22,djævel_compressed.wav,negative,djævel,musik,babble_6.wav,giftig_reversed.wav,konge_reversed.wav,,,,,0,5,5,5,left,0.9483470916748048,left,1,djævel,musik,6702,1,2025-11-24_10-57-48
87,salat_compressed.wav,neutral,salat,accept,babble_62.wav,voldtægt_reversed.wav,væmmes_reversed.wav,,,,,0,6,6,6,left,0.6822609901428223,left,1,salat,accept,6702,1,2025-11-24_10-57-48
43,vinde_compressed.wav,positive,vinde,bombe,babble_48.wav,modgang_reversed.wav,slagtning_reversed.wav,,,,,0,7,7,7,left,1.6589670181274414,left,1,vinde,bombe,6702,1,2025-11-24_10-57-48
42,ære_compressed.wav,positive,ære,baby,babble_36.wav,plakat_reversed.wav,latter_reversed.wav,,,,,0,8,8,8,right,0.6754488945007324,right,1,baby,ære,6702,1,2025-11-24_10-57-48
