trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
107,AF25NES.JPG,maling_compressed.wav,neutral,babble_65.wav,taber_reversed.wav,himmel_reversed.wav,,,,,0,141,141,141,4,1.2409029006958008,1234,001,2025-11-28_15-21-14,
194,AM08ANS.JPG,SILENCE,no-prime,babble_55.wav,gidsel_reversed.wav,borddug_reversed.wav,,,,,0,142,142,142,4,2.0066628456115723,1234,001,2025-11-28_15-21-14,
115,AM30NES.JPG,taxa_compressed.wav,neutral,babble_91.wav,glæde_reversed.wav,passion_reversed.wav,,,,,0,143,143,143,5,0.7500760555267334,1234,001,2025-11-28_15-21-14,
28,AF20ANS.JPG,frelser_compressed.wav,positive,babble_14.wav,succes_reversed.wav,leder_reversed.wav,,,,,0,144,144,144,4,0.7993271350860596,1234,001,2025-11-28_15-21-14,
21,AM02HAS.JPG,trussel_compressed.wav,negative,babble_49.wav,sygdom_reversed.wav,dæmon_reversed.wav,,,,,0,145,145,145,3,1.1094589233398438,1234,001,2025-11-28_15-21-14,
148,AM16ANS.JPG,lærer_compressed.wav,neutral,babble_66.wav,fjendtlig_reversed.wav,fjollet_reversed.wav,,,,,0,146,146,146,5,2.666940212249756,1234,001,2025-11-28_15-21-14,
96,AM10HAS.JPG,skade_compressed.wav,negative,babble_39.wav,utro_reversed.wav,fiasko_reversed.wav,,,,,0,147,147,147,6,0.36635518074035645,1234,001,2025-11-28_15-21-14,
95,AM33ANS.JPG,kande_compressed.wav,neutral,babble_68.wav,violin_reversed.wav,sandhed_reversed.wav,,,,,0,148,148,148,6,0.0408940315246582,1234,001,2025-11-28_15-21-14,
139,AM33NES.JPG,skuffe_compressed.wav,negative,babble_51.wav,finger_reversed.wav,traume_reversed.wav,,,,,0,149,149,149,4,0.539837121963501,1234,001,2025-11-28_15-21-14,
160,AM05HAS.JPG,frygtsom_compressed.wav,negative,babble_53.wav,blomstre_reversed.wav,bombe_reversed.wav,,,,,0,150,150,150,8,0.26444101333618164,1234,001,2025-11-28_15-21-14,
170,AM09HAS.JPG,SILENCE,no-prime,babble_39.wav,spænding_reversed.wav,oprør_reversed.wav,,,,,0,151,151,151,7,0.3595099449157715,1234,001,2025-11-28_15-21-14,
94,AM20HAS.JPG,frelser_compressed.wav,positive,babble_35.wav,utro_reversed.wav,sexet_reversed.wav,,,,,0,152,152,152,8,0.040138959884643555,1234,001,2025-11-28_15-21-14,
76,AF26ANS.JPG,magisk_compressed.wav,positive,babble_74.wav,respekt_reversed.wav,nedbrud_reversed.wav,,,,,0,153,153,153,4,0.8311591148376465,1234,001,2025-11-28_15-21-14,
179,AF33NES.JPG,fedme_compressed.wav,negative,babble_2.wav,giftig_reversed.wav,heldig_reversed.wav,,,,,0,154,154,154,4,0.9449689388275146,1234,001,2025-11-28_15-21-14,
143,AM28HAS.JPG,lampe_compressed.wav,neutral,babble_95.wav,slave_reversed.wav,vandfald_reversed.wav,,,,,0,155,155,155,8,0.22808194160461426,1234,001,2025-11-28_15-21-14,
73,AM30HAS.JPG,bange_compressed.wav,negative,babble_54.wav,kage_reversed.wav,taxa_reversed.wav,,,,,0,156,156,156,6,0.6499381065368652,1234,001,2025-11-28_15-21-14,
118,AF30NES.JPG,violin_compressed.wav,neutral,babble_96.wav,kande_reversed.wav,forfald_reversed.wav,,,,,0,157,157,157,6,0.4559798240661621,1234,001,2025-11-28_15-21-14,
37,AF25ANS.JPG,skønhed_compressed.wav,positive,babble_34.wav,hader_reversed.wav,venlig_reversed.wav,,,,,0,158,158,158,3,1.2933971881866455,1234,001,2025-11-28_15-21-14,
151,AM34NES.JPG,SILENCE,no-prime,babble_10.wav,fiasko_reversed.wav,talent_reversed.wav,,,,,0,159,159,159,2,0.45644712448120117,1234,001,2025-11-28_15-21-14,
56,AM02NES.JPG,grusom_compressed.wav,negative,babble_43.wav,oprørt_reversed.wav,utro_reversed.wav,,,,,0,160,160,160,3,1.3271191120147705,1234,001,2025-11-28_15-21-14,
149,AM31ANS.JPG,engel_compressed.wav,positive,babble_68.wav,ledning_reversed.wav,sollys_reversed.wav,,,,,0,161,161,161,4,2.012014150619507,1234,001,2025-11-28_15-21-14,
191,AM22NES.JPG,vindue_compressed.wav,neutral,babble_65.wav,bifald_reversed.wav,lærer_reversed.wav,,,,,0,162,162,162,5,0.7578978538513184,1234,001,2025-11-28_15-21-14,
61,AM03ANS.JPG,gaffel_compressed.wav,neutral,babble_84.wav,tilfreds_reversed.wav,plakat_reversed.wav,,,,,0,163,163,163,3,0.8806869983673096,1234,001,2025-11-28_15-21-14,
135,AF11HAS.JPG,ensom_compressed.wav,negative,babble_48.wav,dollar_reversed.wav,skammel_reversed.wav,,,,,0,164,164,164,6,0.19788193702697754,1234,001,2025-11-28_15-21-14,
